_id,dataset_id,compressor,compressor_type,compression_memory,dataset_type,compression_time,compression_cpu_usage,compressed_size,original_size,decompression_cpu_usage,decompression_memory,decompression_time
6815dade1969d4a304aecb12,HaHi,cmix,proposed,0.0,dna,0.0,0.0,0.0,3890005.0,0.0,0.0,0.0
6815dade1969d4a304aecb13,EsCo,7-zip,standard,1304.0,dna,2.0,9.0,1187244.0,4641652.0,0.0,0.0,0.57
6815dade1969d4a304aecb14,EsCo,7-zip,proposed,1304.0,dna,0.57,0.0,1148230.0,4641652.0,0.0,0.0,0.46
6815dade1969d4a304aecb15,EsCo,paq8px,standard,25696.0,dna,655.0,6.0,1091566.0,4641652.0,0.0,0.0,645.0
6815dadf1969d4a304aecb16,EsCo,paq8px,proposed,2004.0,dna,372.0,6.0,1115257.0,4641652.0,0.0,0.0,364.0
6815dadf1969d4a304aecb17,EsCo,bsc,standard,5272.0,dna,1.67,6.0,1132710.0,4641652.0,0.0,0.0,1.5
6815dadf1969d4a304aecb18,EsCo,bsc,proposed,1304.0,dna,1.23,6.0,1131750.0,4641652.0,0.0,0.0,1.13
6815dadf1969d4a304aecb19,EsCo,gzip,standard,1304.0,dna,5.0,6.0,1313448.0,4641652.0,0.0,0.0,0.51
6815dadf1969d4a304aecb1a,EsCo,gzip,proposed,1304.0,dna,0.96,0.0,1156295.0,4641652.0,0.0,0.0,0.46
6815dadf1969d4a304aecb1b,EsCo,zstd,standard,1876.0,dna,3.0,6.0,1151153.0,4641652.0,0.0,0.0,0.47
6815dadf1969d4a304aecb1c,EsCo,zstd,proposed,1304.0,dna,2.09,0.0,1141889.0,4641652.0,0.0,0.0,0.38
6815dadf1969d4a304aecb1d,EsCo,bzip2,standard,1304.0,dna,2.09,0.0,1252048.0,4641652.0,0.0,0.0,1.07
6815dadf1969d4a304aecb1e,EsCo,bzip2,proposed,1016.0,dna,0.78,0.0,1155278.0,4641652.0,0.0,0.0,0.78
6815dadf1969d4a304aecb1f,EsCo,zpaq,standard,4304.0,dna,14.0,6.0,1114337.0,4641652.0,0.0,0.0,12.0
6815dadf1969d4a304aecb20,EsCo,zpaq,proposed,2004.0,dna,5.0,6.0,1128139.0,4641652.0,0.0,0.0,6.0
6815dadf1969d4a304aecb21,EsCo,cmix,standard,0.0,dna,0.0,0.0,0.0,4641652.0,0.0,0.0,0.0
6815dadf1969d4a304aecb22,EsCo,cmix,proposed,0.0,dna,0.0,0.0,0.0,4641652.0,0.0,0.0,0.0
6815dadf1969d4a304aecb23,PlFa,7-zip,standard,10120.0,dna,6.0,9.0,2097697.0,8986712.0,0.0,0.0,0.68
6815dadf1969d4a304aecb24,PlFa,7-zip,proposed,1164.0,dna,0.73,0.0,2039639.0,8986712.0,0.0,0.0,0.52
6815dadf1969d4a304aecb25,PlFa,paq8px,standard,2604.0,dna,1263.0,6.0,1933292.0,8986712.0,0.0,0.0,1251.0
6815dadf1969d4a304aecb26,PlFa,paq8px,proposed,0.0,dna,737.0,6.0,1983270.0,8986712.0,0.0,0.0,725.0
6815dadf1969d4a304aecb27,PlFa,bsc,standard,3592.0,dna,2.29,6.0,2061006.0,8986712.0,0.0,0.0,2.0
6815dadf1969d4a304aecb29,PlFa,bsc,proposed,3008.0,dna,1.56,6.0,2062188.0,8986712.0,0.0,0.0,1.4
6815dae01969d4a304aecb2a,PlFa,gzip,standard,3592.0,dna,2.0,6.0,2413148.0,8986712.0,0.0,0.0,0.56
6815dae01969d4a304aecb2b,PlFa,gzip,proposed,2088.0,dna,1.01,0.0,2107476.0,8986712.0,0.0,0.0,0.51
6815dae01969d4a304aecb2c,PlFa,zstd,standard,1988.0,dna,8.0,6.0,2099026.0,8986712.0,0.0,0.0,0.52
6815dae01969d4a304aecb2d,PlFa,zstd,proposed,1092.0,dna,2.11,0.0,2041670.0,8986712.0,0.0,0.0,0.45
6815dae01969d4a304aecb2e,PlFa,bzip2,standard,2360.0,dna,2.11,0.0,2351428.0,8986712.0,0.0,0.0,1.11
6815dae01969d4a304aecb2f,PlFa,bzip2,proposed,2216.0,dna,1.08,0.0,2157693.0,8986712.0,0.0,0.0,1.08
6815dae01969d4a304aecb30,PlFa,zpaq,standard,2604.0,dna,27.0,6.0,1991855.0,8986712.0,0.0,0.0,22.0
6815dae01969d4a304aecb31,PlFa,zpaq,proposed,3228.0,dna,9.0,6.0,2027399.0,8986712.0,0.0,0.0,8.0
6815dae01969d4a304aecb32,PlFa,cmix,standard,0.0,dna,0.0,0.0,0.0,8986712.0,0.0,0.0,0.0
